Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility,Delta
2024-06-2816:00 EST,"TSLA
watching",197.88,Put,182.5,6260,2024-07-05,7,0.55,0.56,0.57,0.56,4866,1.29,0.4581,-0.093105
2024-06-2816:00 EST,"TSLA
watching",197.88,Call,195,57120,2024-06-28,0,2.9,3,3.1,2.99,23844,2.4,0.2072,0.916276
2024-06-2816:00 EST,"NVDA
watching",123.47,Put,125,235745,2024-06-28,0,1.46,1.78,2.09,1.59,34150,6.9,0.1972,-0.88526
2024-06-2815:59 EST,WFC,59.39,Call,60,2933,2024-07-05,7,0.41,0.43,0.44,0.44,1325,2.21,0.2093,0.374991
2024-06-2815:59 EST,VAL,74.5,Call,75,3374,2024-07-19,21,2.1,2.25,2.4,2.2,445,7.58,0.3267,0.497188
2024-06-2815:59 EST,TSM,173.81,Put,177.5,1498,2024-06-28,0,2.93,3.64,4.35,3.65,591,2.53,0.5492,-0.76414
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,220,11777,2024-07-12,14,1.38,1.4,1.43,1.4,2982,3.95,0.4879,0.149213
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,210,9089,2024-07-12,14,2.99,3.05,3.1,3.05,4332,2.1,0.4708,0.2821
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,205,9157,2024-07-12,14,4.35,4.4,4.45,4.4,3302,2.77,0.4622,0.373466
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,217.5,8178,2024-07-05,7,0.58,0.6,0.61,0.6,248,32.98,0.5029,0.095453
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,212.5,7180,2024-07-05,7,1.03,1.05,1.07,1.07,498,14.42,0.4881,0.157286
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,210,1758,2024-07-05,7,12.5,13.53,14.55,13.25,360,4.88,0.4653,-0.812816
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,210,58434,2024-07-05,7,1.38,1.4,1.41,1.4,14804,3.95,0.4783,0.197924
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,207.5,17359,2024-07-05,7,1.83,1.86,1.89,1.84,3189,5.44,0.47,0.247892
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,200,72845,2024-07-05,7,4.1,4.15,4.2,4.15,23752,3.07,0.4598,0.452445
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,197.5,13943,2024-07-05,7,4.55,4.63,4.7,4.65,2350,5.93,0.4511,-0.470152
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,197.5,24089,2024-07-05,7,5.2,5.28,5.35,5.3,7179,3.36,0.4585,0.531136
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,195,28728,2024-07-05,7,3.4,3.47,3.55,3.45,6126,4.69,0.4449,-0.388763
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,192.5,14005,2024-07-05,7,2.5,2.53,2.56,2.53,3440,4.07,0.446,-0.311566
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,190,26576,2024-07-05,7,1.75,1.78,1.8,1.77,8743,3.04,0.4437,-0.239866
2024-06-2815:59 EST,"TSLA
watching",197.88,Put,187.5,7537,2024-07-05,7,1.19,1.21,1.24,1.21,4432,1.7,0.4444,-0.178459
2024-06-2815:59 EST,"TSLA
watching",197.88,Call,197.5,144914,2024-06-28,0,0.48,0.57,0.65,0.53,16657,8.7,0.0682,0.720549
2024-06-2815:59 EST,SMCI,819.35,Call,1000,969,2024-07-12,14,7.3,7.9,8.5,7.9,747,1.3,0.8267,0.127753
2024-06-2815:59 EST,SMCI,819.35,Call,920,766,2024-07-05,7,6,6.4,6.8,6.24,343,2.23,0.755,0.147723
2024-06-2815:59 EST,SMCI,819.35,Call,900,6201,2024-07-05,7,7.6,7.95,8.3,8,1309,4.74,0.7165,0.187719
2024-06-2815:59 EST,SMCI,819.35,Put,800,3323,2024-07-05,7,17.9,18.95,20,18.9,1164,2.85,0.6219,-0.370483
2024-06-2815:59 EST,SMCI,819.35,Call,1000,5974,2024-07-05,7,2.65,2.72,2.8,2.73,1882,3.17,0.9037,0.064078
2024-06-2815:59 EST,SMCI,819.35,Put,820,9304,2024-06-28,0,1.1,3.55,6,2.8,2250,4.14,0.1481,-0.533843
2024-06-2815:59 EST,RIVN,13.42,Put,13,6839,2024-07-05,7,0.35,0.36,0.36,0.35,3466,1.97,0.7388,-0.355528
2024-06-2815:59 EST,RIVN,13.42,Put,12,6105,2024-07-05,7,0.1,0.11,0.11,0.11,3186,1.92,0.7927,-0.13959
2024-06-2815:59 EST,QCOM,199.18,Call,200,3286,2024-07-05,7,2.56,2.73,2.9,2.76,1516,2.17,0.2803,0.472548
2024-06-2815:59 EST,QCOM,199.18,Call,195,947,2024-07-05,7,5.6,5.75,5.9,5.69,415,2.28,0.2814,0.71942
2024-06-2815:59 EST,PYPL,58.03,Call,60,6527,2024-07-05,7,0.16,0.17,0.18,0.18,4406,1.48,0.2441,0.173454
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,124,7580,2024-07-12,14,4.25,4.3,4.35,4.33,5383,1.41,0.4628,0.508154
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,138,20213,2024-07-05,7,0.14,0.15,0.15,0.15,8538,2.37,0.4654,0.046664
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,131,93869,2024-07-05,7,0.61,0.62,0.63,0.61,11529,8.14,0.4187,0.164897
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,130,127822,2024-07-05,7,0.76,0.78,0.79,0.77,51051,2.5,0.4173,0.198917
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,128,45195,2024-07-05,7,1.19,1.21,1.23,1.21,17477,2.59,0.4168,0.281684
2024-06-2815:59 EST,"NVDA
watching",123.4698,Put,127,17424,2024-07-05,7,4.8,4.9,5,4.9,5422,3.21,0.4149,-0.674255
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,127,70761,2024-07-05,7,1.5,1.51,1.52,1.5,14417,4.91,0.4177,0.329609
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,125,100667,2024-07-05,7,2.22,2.24,2.25,2.22,34236,2.94,0.418,0.433955
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,124,46121,2024-07-05,7,2.64,2.67,2.7,2.7,15713,2.94,0.4242,0.48951
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,123,19390,2024-07-05,7,3.1,3.18,3.25,3.2,8439,2.3,0.4252,0.544367
2024-06-2815:59 EST,"NVDA
watching",123.4698,Put,120,76536,2024-07-05,7,1.36,1.37,1.37,1.37,24397,3.14,0.4172,-0.295454
2024-06-2815:59 EST,"NVDA
watching",123.4698,Put,127,65494,2024-06-28,0,3.35,4.08,4.8,3.53,15803,4.14,1.0344,-0.690015
2024-06-2815:59 EST,"NVDA
watching",123.4698,Put,124,215418,2024-06-28,0,0.46,0.53,0.6,0.46,24455,8.81,0.1035,-0.784539
2024-06-2815:59 EST,"NVDA
watching",123.4698,Call,123,74225,2024-06-28,0,0.4,0.5,0.6,0.6,18321,4.05,0.1152,0.74656
2024-06-2815:59 EST,NU,12.89,Put,13,1138,2024-07-05,7,0.21,0.33,0.45,0.3,150,7.59,0.3463,-0.554892
2024-06-2815:59 EST,NFLX,674.88,Put,675,4333,2024-06-28,0,0.4,1.78,3.15,0.4,2347,1.85,0.0271,-0.525042
2024-06-2815:59 EST,MU,131.53,Call,137,2042,2024-07-05,7,0.88,0.9,0.92,0.88,1552,1.32,0.3735,0.228554
2024-06-2815:59 EST,MU,131.53,Call,132,15039,2024-07-05,7,2.36,2.4,2.43,2.43,1814,8.29,0.3572,0.488767
2024-06-2815:59 EST,"MSFT
watching",446.95,Call,452.5,726,2024-07-12,14,2.88,3.79,4.7,3.65,362,2.01,0.1627,0.376167
2024-06-2815:59 EST,"MSFT
watching",446.95,Put,440,3411,2024-07-05,7,1.04,1.12,1.2,1.04,2313,1.47,0.1455,-0.204147
2024-06-2815:59 EST,"MSFT
watching",446.95,Put,450,27789,2024-06-28,0,2.5,3.13,3.75,3.02,4578,6.07,0.2021,-0.73771
2024-06-2815:59 EST,"MSFT
watching",446.95,Put,450,27589,2024-06-28,0,2.5,3.13,3.75,3.02,4578,6.03,0.2021,-0.73771
2024-06-2815:59 EST,"MSFT
watching",446.95,Put,447.5,4593,2024-06-28,0,0.22,0.6,0.97,0.62,2745,1.67,0.0322,-0.768599
2024-06-2815:59 EST,"META
watching",504.22,Call,535,2229,2024-07-05,7,0.2,0.33,0.47,0.4,1319,1.69,0.258,0.053268
2024-06-2815:59 EST,"META
watching",504.22,Call,520,8613,2024-07-05,7,1.51,1.71,1.92,1.76,3044,2.83,0.2425,0.191406
2024-06-2815:59 EST,"META
watching",504.22,Call,515,5166,2024-07-05,7,2.8,3,3.2,2.81,2343,2.2,0.2397,0.276787
2024-06-2815:59 EST,"META
watching",504.22,Put,502.5,915,2024-07-05,7,4.8,5.6,6.4,5.48,457,2,0.2336,-0.442473
2024-06-2815:59 EST,"META
watching",504.22,Put,500,4974,2024-07-05,7,3.85,4.55,5.25,4.4,1833,2.71,0.2329,-0.381685
2024-06-2815:59 EST,"META
watching",504.22,Put,495,2178,2024-07-05,7,2.29,3.42,4.55,2.86,1239,1.76,0.2389,-0.274483
2024-06-2815:59 EST,"META
watching",504.22,Put,512.5,7623,2024-06-28,0,7.5,9.63,11.75,8.38,1196,6.37,0.2023,-0.941505
2024-06-2815:59 EST,MARA,19.85,Call,20,10014,2024-07-05,7,0.71,0.73,0.74,0.71,7260,1.38,0.7029,0.49275
2024-06-2815:59 EST,HOOD,22.71,Put,22.5,1092,2024-07-05,7,0.47,0.49,0.5,0.48,695,1.57,0.4711,-0.425524
2024-06-2815:59 EST,"GOOG
watching",183.42,Call,185,5372,2024-07-05,7,1.1,1.15,1.2,1.12,2101,2.56,0.1704,0.37751
2024-06-2815:59 EST,GOOGL,182.07,Call,187.5,7048,2024-07-05,7,0.26,0.28,0.29,0.28,5275,1.34,0.1779,0.126641
2024-06-2815:59 EST,GOOGL,182.07,Put,182.5,3220,2024-07-05,7,1.74,1.81,1.88,1.79,1920,1.68,0.1633,-0.52551
2024-06-2815:59 EST,GOOGL,182.07,Put,180,5294,2024-07-05,7,0.82,0.85,0.88,0.82,3249,1.63,0.1706,-0.298219
2024-06-2815:59 EST,ENPH,99.71,Put,95,724,2024-07-05,7,0.9,1,1.09,0.96,422,1.72,0.5043,-0.229397
2024-06-2815:59 EST,ENPH,99.71,Call,100,710,2024-07-05,7,2.51,2.58,2.64,2.56,110,6.45,0.4812,0.502025
2024-06-2815:59 EST,DKNG,38.17,Call,39,1905,2024-07-05,7,0.42,0.45,0.48,0.45,1064,1.79,0.3673,0.352916
2024-06-2815:59 EST,DIS,99.29,Put,97,691,2024-07-05,7,0.28,0.31,0.34,0.3,213,3.24,0.1978,-0.196418
2024-06-2815:59 EST,DIS,99.29,Call,102,4721,2024-07-05,7,0.33,0.34,0.35,0.33,1124,4.2,0.2246,0.195605
2024-06-2815:59 EST,DIS,99.29,Put,100,8670,2024-06-28,0,0.6,0.82,1.04,0.8,2936,2.95,0.2661,-0.717824
2024-06-2815:59 EST,CRWD,383.19,Call,395,794,2024-07-05,7,1.63,1.82,2,1.82,221,3.59,0.2715,0.223218
2024-06-2815:59 EST,COST,849.99,Put,840,598,2024-07-05,7,2.2,2.44,2.68,2.51,378,1.58,0.1394,-0.253602
2024-06-2815:59 EST,COIN,222.23,Call,232.5,1765,2024-07-05,7,2.6,2.76,2.92,2.92,409,4.32,0.541,0.290487
2024-06-2815:59 EST,AVGO,1605.53,Call,1650,2708,2024-07-05,7,15.3,15.95,16.6,16.04,1043,2.6,0.3703,0.311204
2024-06-2815:59 EST,ARM,163.62,Call,180,1330,2024-07-05,7,0.82,0.88,0.93,0.85,1004,1.32,0.5878,0.131562
2024-06-2815:59 EST,ARM,163.62,Call,165,1734,2024-07-05,7,4.05,4.2,4.35,4.18,1164,1.49,0.5249,0.474027
2024-06-2815:59 EST,"AMZN
watching",193.25,Call,197.5,3525,2024-07-12,14,2.6,2.69,2.77,2.77,1265,2.79,0.2906,0.375265
2024-06-2815:59 EST,"AMZN
watching",193.25,Call,210,12452,2024-07-05,7,0.2,0.23,0.25,0.25,9342,1.33,0.3737,0.059295
2024-06-2815:59 EST,"AMZN
watching",193.25,Call,202.5,14150,2024-07-05,7,0.55,0.59,0.62,0.6,5710,2.48,0.3062,0.145143
2024-06-2815:59 EST,"AMZN
watching",193.25,Call,200,62780,2024-07-05,7,0.85,0.87,0.89,0.86,23417,2.68,0.2847,0.20464
2024-06-2815:59 EST,"AMZN
watching",193.25,Call,195,37347,2024-07-05,7,2.04,2.09,2.15,2.08,7845,4.76,0.26,0.419179
2024-06-2815:59 EST,AMD,162.21,Call,165,38346,2024-07-05,7,1.85,1.89,1.93,1.9,8426,4.55,0.3357,0.37385
2024-06-2815:59 EST,ADBE,555.54,Call,560,1398,2024-07-05,7,4.55,4.75,4.95,4.75,467,2.99,0.2114,0.411502
2024-06-2815:59 EST,"AAPL
watching",210.62,Put,210,11399,2024-09-20,84,6.4,7.03,7.65,7.5,5531,2.06,0.2183,-0.438907
2024-06-2815:59 EST,"AAPL
watching",210.62,Call,220,40309,2024-07-05,7,0.2,0.22,0.23,0.22,25892,1.56,0.2153,0.078466
2024-06-2815:59 EST,"AAPL
watching",210.62,Call,217.5,35406,2024-07-05,7,0.31,0.37,0.42,0.37,11498,3.08,0.1975,0.129759
2024-06-2815:59 EST,"AAPL
watching",210.62,Put,215,15402,2024-07-05,7,4.45,4.95,5.45,5.1,5383,2.86,0.2062,-0.757132
2024-06-2815:59 EST,"AAPL
watching",210.62,Call,215,52339,2024-07-05,7,0.64,0.68,0.71,0.7,24239,2.16,0.1857,0.226192
2024-06-2815:59 EST,"AAPL
watching",210.62,Put,212.5,28820,2024-07-05,7,2.71,3.01,3.3,3.07,8104,3.56,0.1798,-0.626341
2024-06-2815:59 EST,"AAPL
watching",210.62,Call,212.5,20081,2024-07-05,7,1.25,1.43,1.6,1.4,8563,2.35,0.1829,0.381503
2024-06-2815:59 EST,"AAPL
watching",210.62,Put,210,20779,2024-07-05,7,1.62,1.73,1.84,1.71,14362,1.45,0.1792,-0.436188
2024-06-2815:59 EST,"AAPL
watching",210.62,Put,200,13088,2024-07-05,7,0.11,0.13,0.15,0.14,9236,1.42,0.2319,-0.049084
2024-06-2815:59 EST,SMCI,819.35,Put,812.5,833,2024-06-28,0,0.05,0.78,1.5,0.5,254,3.28,0.1562,-0.145743
2024-06-2815:59 EST,SMCI,819.35,Put,805,778,2024-06-28,0,0,0.2,0.4,0.15,543,1.43,0.2001,-0.042968
2024-06-2815:59 EST,AVGO,1605.53,Call,1610,748,2024-07-05,7,28,29.5,31,29.5,204,3.67,0.3502,0.493039
