,signal,ticker,occurrence,patterns
0,BUY,SAGE,4,- ADX_Bullish_Trends CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
1,BUY,TSCO,4,- ADX_Bullish_Trends Bollinger_near_Upper_Band CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
2,BUY,AMAM,4,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio High_Volume_Stocks MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more TRIX_Bullish_Signal_Cross Williams_%R_Overbought
3,BUY,ARDX,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
4,BUY,ASAI,3,- CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross TRIX_Bullish_Signal_Cross Williams_%R_Overbought
5,BUY,SAGE,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Volume_Stocks MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
6,BUY,BBAI,3,- CCI_Buy_Signals EMA_50/120_Bullish_Crossovers High_Sharpe_Ratio MACD_Bullish_Signal_Cross
7,BUY,CPZ,3,#NAME?
8,BUY,EDR,3,- Bollinger_near_Upper_Band CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
9,BUY,EWCZ,3,- CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
10,BUY,GLW,3,#NAME?
11,BUY,INZY,3,- CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
12,BUY,IOVA,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
13,BUY,KALV,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
14,BUY,LAZ,3,- CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Dividend_Stocks High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
15,BUY,NVDA,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
16,BUY,NVDU,3,- 52_Week_Highs_at_latest_close 52_Week_Highs_in_last_3_weeks 52_Week_Highs_this_week CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
17,BUY,SMCI,3,- CCI_Buy_Signals Fast_Stochastic_Overbought MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
18,BUY,VERA,3,- CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals Williams_%R_Overbought
19,SELL,ACAXU,3,. 52_Week_Lows_at_latest_close 52_Week_Lows_this_week ADX_Bearish_Trends Heikin-Ashi_Uptrends High_Volume_Stocks Parabolic_SAR_Sell_Signals TRIX_Bearish_Signal_Cross Williams_%R_Oversold
20,SELL,BRY,3,. CCI_Sell_Signals MACD_Bearish_Signal_Cross Parabolic_SAR_Sell_Signals
21,SELL,DADA,3,. 52_Week_Lows_at_latest_close 52_Week_Lows_this_week CCI_Sell_Signals Fast_Stochastic_Oversold High_Volume_Stocks MACD_Bearish_Signal_Cross Parabolic_SAR_Sell_Signals Price_gapped_down_by_2%_or_more Williams_%R_Oversold
22,SELL,FIVE,3,. CCI_Sell_Signals Fast_Stochastic_Oversold Parabolic_SAR_Sell_Signals TRIX_Bearish_Signal_Cross Williams_%R_Oversold
23,SELL,FTI,3,. CCI_Sell_Signals Fast_Stochastic_Oversold MACD_Bearish_Signal_Cross Parabolic_SAR_Sell_Signals Williams_%R_Oversold
24,SELL,IQ,3,. CCI_Sell_Signals Fast_Stochastic_Oversold MACD_Bearish_Signal_Cross Parabolic_SAR_Sell_Signals Williams_%R_Oversold
25,SELL,PRTA,3,. CCI_Sell_Signals High_Volume_Stocks MACD_Bearish_Signal_Cross Parabolic_SAR_Sell_Signals Price_gapped_down_by_2%_or_more
26,SELL,SNBR,3,. CCI_Sell_Signals Heikin-Ashi_Downtrends TRIX_Bearish_Signal_Cross
27,SELL,ASMB,3,. Bollinger_near_Upper_Band Fast_Stochastic_Overbought Parabolic_SAR_Sell_Signals Williams_%R_Overbought
28,SELL,BIPC,3,. Fast_Stochastic_Overbought Fisher_Transform_Cross_Up Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
29,SELL,CLDT,3,. Fast_Stochastic_Overbought Fisher_Transform_Cross_Up TRIX_Bearish_Signal_Cross Williams_%R_Overbought
30,SELL,CROX,3,. Fast_Stochastic_Overbought Fisher_Transform_Cross_Up Heikin-Ashi_Downtrends Parabolic_SAR_Buy_Signals Price_gapped_up_by_2%_or_more Williams_%R_Overbought
31,SELL,GLNG,3,. Fast_Stochastic_Overbought Parabolic_SAR_Sell_Signals Williams_%R_Overbought
32,SELL,GS,3,. 52_Week_Highs_in_last_3_weeks Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio TRIX_Bearish_Signal_Cross Williams_%R_Overbought
33,SELL,IGR,3,. Fast_Stochastic_Overbought TRIX_Bearish_Signal_Cross Williams_%R_Overbought
34,SELL,INZY,3,. CCI_Buy_Signals Fast_Stochastic_Overbought High_Sharpe_Ratio MACD_Bullish_Signal_Cross Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
35,SELL,IVZ,3,. Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Dividend_Stocks High_Sharpe_Ratio Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
36,SELL,KURA,3,. 52_Week_Highs_in_last_3_weeks Fast_Stochastic_Overbought High_Sharpe_Ratio Parabolic_SAR_Sell_Signals Williams_%R_Overbought
37,SELL,MITT,3,. CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
38,SELL,PINC,3,. Fast_Stochastic_Overbought Fisher_Transform_Cross_Up Parabolic_SAR_Buy_Signals TRIX_Bearish_Signal_Cross Williams_%R_Overbought
39,SELL,QSR,3,. 52_Week_Highs_in_last_3_weeks Fast_Stochastic_Overbought High_Sharpe_Ratio TRIX_Bearish_Signal_Cross Williams_%R_Overbought
40,SELL,SRAD,3,. Bollinger_near_Upper_Band CCI_Buy_Signals Fast_Stochastic_Overbought Fisher_Transform_Cross_Up High_Sharpe_Ratio TRIX_Bearish_Signal_Cross Williams_%R_Overbought
41,SELL,TPB,3,. 52_Week_Highs_in_last_3_weeks Fast_Stochastic_Overbought High_Sharpe_Ratio TRIX_Bearish_Signal_Cross Williams_%R_Overbought
42,SELL,XPER,3,. Fast_Stochastic_Overbought Parabolic_SAR_Sell_Signals Williams_%R_Overbought
