Ticker,Company,Sector,Industry,Country
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA
AA,Alcoa Corp,Basic Materials,Aluminum,USA
AAL,American Airlines Group Inc,Industrials,Airlines,USA
AAON,AAON Inc.,Industrials,Building Products & Equipment,USA
AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA
AAPL,Apple Inc,Technology,Consumer Electronics,USA
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA
ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA
ACM,AECOM,Industrials,Engineering & Construction,USA
ACN,Accenture plc,Technology,Information Technology Services,Ireland
ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA
ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
ADBE,Adobe Inc,Technology,Software - Infrastructure,USA
ADC,Agree Realty Corp.,Real Estate,REIT - Retail,USA
ADI,Analog Devices Inc.,Technology,Semiconductors,USA
ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products,USA
ADNT,Adient plc,Consumer Cyclical,Auto Parts,USA
ADP,Automatic Data Processing Inc.,Industrials,Staffing & Employment Services,USA
ADSK,Autodesk Inc.,Technology,Software - Application,USA
ADT,ADT Inc,Industrials,Security & Protection Services,USA
AEG,Aegon Ltd.,Financial,Insurance - Diversified,Netherlands
AEIS,Advanced Energy Industries Inc.,Industrials,Electrical Equipment & Parts,USA
AEL,American Equity Investment Life Holding Co,Financial,Insurance - Life,USA
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,Apparel Retail,USA
AER,Aercap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland
AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA
AFL,Aflac Inc.,Financial,Insurance - Life,USA
AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA
AGCO,AGCO Corp.,Industrials,Farm & Heavy Construction Machinery,USA
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada
AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA
AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA
AI,C3.ai Inc,Technology,Software - Application,USA
AIG,American International Group Inc,Financial,Insurance - Diversified,USA
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA
AIR,AAR Corp.,Industrials,Aerospace & Defense,USA
AIRC,Apartment Income REIT Corp,Real Estate,REIT - Residential,USA
AIT,Applied Industrial Technologies Inc.,Industrials,Industrial Distribution,USA
AIZ,Assurant Inc,Financial,Insurance - Specialty,USA
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA
AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA
ALB,Albemarle Corp.,Basic Materials,Specialty Chemicals,USA
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA
ALGM,Allegro Microsystems Inc.,Technology,Semiconductors,USA
ALGN,Align Technology,,,
ALIT,Alight Inc.,Technology,Software - Application,USA
ALK,Alaska Air Group Inc.,Industrials,Airlines,USA
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
ALKT,Alkami Technology Inc,Technology,Software - Application,USA
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
ALLY,Ally Financial Inc,Financial,Credit Services,USA
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA
ALRM,Alarm.com Holdings Inc,Technology,Software - Application,USA
ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts,USA
ALTR,Altair Engineering Inc,Technology,Software - Infrastructure,USA
ALV,Autoliv Inc.,Consumer Cyclical,Auto Parts,Sweden
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,Luxembourg
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA
AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,USA
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA
AMED,Amedisys Inc.,Healthcare,Medical Care Facilities,USA
AMEH,Apollo Medical Holdings Inc,Healthcare,Medical Care Facilities,USA
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,USA
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,USA
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA
AMK,Assetmark Financial Holdings Inc,Financial,Asset Management,USA
AMKR,AMKOR Technology Inc.,Technology,Semiconductor Equipment & Materials,USA
AMN,AMN Healthcare Services Inc.,Healthcare,Medical Care Facilities,USA
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA
AMT,American Tower Corp.,Real Estate,REIT - Specialty,USA
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA
AN,Autonation Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA
ANET,Arista Networks Inc,Technology,Computer Hardware,USA
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA
ANSS,Ansys Inc.,Technology,Software - Application,USA
AON,Aon plc.,Financial,Insurance Brokers,Ireland
AOS,A.O. Smith Corp.,Industrials,Specialty Industrial Machinery,USA
APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA
APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,USA
APG,APi Group Corporation,Industrials,Engineering & Construction,USA
APH,Amphenol Corp.,Technology,Electronic Components,USA
APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA
APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA
APO,Apollo Global Management Inc,Financial,Asset Management,USA
APP,Applovin Corp,Technology,Software - Application,USA
APPF,Appfolio Inc,Technology,Software - Application,USA
APPN,Appian Corp,Technology,Software - Infrastructure,USA
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland
ARCB,ArcBest Corp,Industrials,Trucking,USA
ARCC,Ares Capital Corporation,Financial,Asset Management,USA
ARCH,Arch Resources Inc,Basic Materials,Coking Coal,USA
ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA
ARDX,Ardelyx Inc,Healthcare,Biotechnology,USA
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,USA
ARES,Ares Management Corp,Financial,Asset Management,USA
ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands
ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom
ARMK,Aramark,Industrials,Specialty Business Services,USA
ARRY,Array Technologies Inc,Technology,Solar,USA
ARVN,Arvinas Inc,Healthcare,Biotechnology,USA
ARW,Arrow Electronics Inc.,Technology,Electronics & Computer Distribution,USA
ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
ASAN,Asana Inc,Technology,Software - Application,USA
ASB,Associated Banc-Corp.,Financial,Banks - Regional,USA
ASGN,ASGN Inc,Technology,Information Technology Services,USA
ASH,Ashland Inc,Basic Materials,Specialty Chemicals,USA
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands
ASND,Ascendis Pharma A/S ADR,Healthcare,Biotechnology,Denmark
ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA
ATEC,Alphatec Holdings Inc,Healthcare,Medical Devices,USA
ATGE,Adtalem Global Education Inc,Consumer Defensive,Education & Training Services,USA
ATI,ATI Inc,Industrials,Metal Fabrication,USA
ATKR,Atkore Inc,Industrials,Electrical Equipment & Parts,USA
ATR,Aptargroup Inc.,Healthcare,Medical Instruments & Supplies,USA
ATS,ATS Corporation.,Industrials,Specialty Industrial Machinery,Canada
AU,AngloGold Ashanti Plc.,Basic Materials,Gold,United Kingdom
AUB,Atlantic Union Bankshares Corp,Financial,Banks - Regional,USA
AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA
AVAV,AeroVironment Inc.,Industrials,Aerospace & Defense,USA
AVB,Avalonbay Communities Inc.,Real Estate,REIT - Residential,USA
AVDX,AvidXchange Holdings Inc,Technology,Software - Infrastructure,USA
AVGO,Broadcom Inc,Technology,Semiconductors,USA
AVNT,Avient Corp,Basic Materials,Specialty Chemicals,USA
AVT,Avnet Inc.,Technology,Electronics & Computer Distribution,USA
AVTR,Avantor Inc.,Basic Materials,Specialty Chemicals,USA
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers,USA
AWI,Armstrong World Industries Inc.,Industrials,Building Products & Equipment,USA
AX,Axos Financial Inc.,Financial,Banks - Regional,USA
AXNX,Axonics Inc,Healthcare,Medical Devices,USA
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA
AXP,American Express Co.,Financial,Credit Services,USA
AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology,USA
AXTA,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,USA
AYI,Acuity Brands,,,
AYX,Alteryx Inc,Technology,Software - Application,USA
AZEK,AZEK Company Inc,Industrials,Building Products & Equipment,USA
AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom
AZO,Autozone Inc.,Consumer Cyclical,Specialty Retail,USA
AZPN,Aspen Technology Inc,Technology,Software - Application,USA
AZTA,Azenta Inc,Healthcare,Medical Instruments & Supplies,USA
BA,Boeing Co.,Industrials,Aerospace & Defense,USA
BAC,Bank Of America Corp.,Financial,Banks - Diversified,USA
BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services,USA
BALL,Ball Corp.,Consumer Cyclical,Packaging & Containers,USA
BAM,Brookfield Asset Management Ltd,Financial,Asset Management,Canada
BANC,Banc of California Inc,Financial,Banks - Regional,USA
BANF,Bancfirst Corp.,Financial,Banks - Regional,USA
BATRA,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA
BATRK,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA
BB,BlackBerry Ltd,Technology,Software - Infrastructure,Canada
BBIO,BridgeBio Pharma Inc,Healthcare,Biotechnology,USA
BBUC,Brookfield Business Corp,Financial,Asset Management,USA
BBVA,Banco Bilbao Vizcaya Argentaria. ADR,Financial,Banks - Diversified,Spain
BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail,USA
BBY,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail,USA
BC,Brunswick Corp.,Consumer Cyclical,Recreational Vehicles,USA
BCC,Boise Cascade Co,Basic Materials,Building Materials,USA
BCE,BCE Inc,Communication Services,Telecom Services,Canada
BCO,Brink's Co.,Industrials,Security & Protection Services,USA
BCPC,Balchem Corp.,Basic Materials,Specialty Chemicals,USA
BCS,Barclays plc ADR,Financial,Banks - Diversified,United Kingdom
BDC,Belden Inc,Technology,Communication Equipment,USA
BDX,Becton Dickinson & Co.,Healthcare,Medical Instruments & Supplies,USA
BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA
BEAM,Beam Therapeutics Inc,Healthcare,Biotechnology,USA
BECN,Beacon Roofing Supply Inc,Industrials,Industrial Distribution,USA
BEN,Franklin Resources,,,
BERY,Berry Global Group Inc,Consumer Cyclical,Packaging & Containers,USA
BF-A,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA
BF-B,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA
BFAM,Bright Horizons Family Solutions,,,
BG,Bunge Global SA,Consumer Defensive,Farm Products,Switzerland
BHC,Bausch Health Companies Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
BHF,Brighthouse Financial Inc,Financial,Insurance - Life,USA
BHVN,Biohaven Ltd,Healthcare,Biotechnology,USA
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA
BILL,BILL Holdings Inc,Technology,Software - Application,USA
BIO,Bio-Rad Laboratories Inc.,Healthcare,Medical Devices,USA
BIRK,Birkenstock Holding Plc,Consumer Cyclical,Footwear & Accessories,United Kingdom
BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA
BK,Bank Of New York Mellon Corp,Financial,Asset Management,USA
BKE,Buckle,,,
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,USA
BKU,BankUnited Inc,Financial,Banks - Regional,USA
BL,BlackLine Inc,Technology,Software - Application,USA
BLCO,Bausch + Lomb Corp,Healthcare,Medical Instruments & Supplies,Canada
BLD,TopBuild Corp,Industrials,Engineering & Construction,USA
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA
BLK,Blackrock Inc.,Financial,Asset Management,USA
BLKB,Blackbaud Inc,Technology,Software - Application,USA
BLMN,Bloomin Brands Inc,Consumer Cyclical,Restaurants,USA
BMI,Badger Meter Inc.,Technology,Scientific & Technical Instruments,USA
BMO,Bank of Montreal,Financial,Banks - Diversified,USA
BMRN,Biomarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA
BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General,USA
BN,Brookfield Corporation,Financial,Asset Management,Canada
BNL,Broadstone Net Lease Inc,Real Estate,REIT - Diversified,USA
BNS,Bank Of Nova Scotia,Financial,Banks - Diversified,Canada
BNTX,BioNTech SE ADR,Healthcare,Biotechnology,Germany
BOH,Bank of Hawaii Corp.,Financial,Banks - Regional,USA
BOKF,BOK Financial Corp.,Financial,Banks - Regional,USA
BOOT,Boot Barn Holdings Inc,Consumer Cyclical,Apparel Retail,USA
BOX,Box Inc,Technology,Software - Infrastructure,USA
BPMC,Blueprint Medicines Corp,Healthcare,Biotechnology,USA
BPOP,Popular Inc.,Financial,Banks - Regional,USA
BR,Broadridge Financial Solutions,,,
BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA
BRC,Brady Corp.,Industrials,Security & Protection Services,USA
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA
BRKR,Bruker Corp,Healthcare,Medical Devices,USA
BRO,Brown & Brown,,,
BROS,Dutch Bros Inc,Consumer Cyclical,Restaurants,USA
BRX,Brixmor Property Group Inc,Real Estate,REIT - Retail,USA
BRZE,Braze Inc,Technology,Software - Application,USA
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,USA
BSY,Bentley Systems Inc,Technology,Software - Application,USA
BTG,B2gold Corp,Basic Materials,Gold,Canada
BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom
BUD,Anheuser-Busch InBev SA/NV ADR,Consumer Defensive,Beverages - Brewers,Belgium
BUR,Burford Capital Limited,Financial,Asset Management,United Kingdom
BURL,Burlington Stores Inc,Consumer Cyclical,Apparel Retail,USA
BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts,USA
BWXT,BWX Technologies Inc,Industrials,Aerospace & Defense,USA
BX,Blackstone Inc,Financial,Asset Management,USA
BXMT,Blackstone Mortgage Trust Inc,Real Estate,REIT - Mortgage,USA
BXP,Boston Properties,,,
BXSL,Blackstone Secured Lending Fund,Financial,Asset Management,USA
BYD,Boyd Gaming Corp.,Consumer Cyclical,Resorts & Casinos,USA
C,Citigroup Inc,Financial,Banks - Diversified,USA
CAAP,Corporacion America Airports S.A.,Industrials,Airports & Air Services,Luxembourg
CABO,Cable One Inc,Communication Services,Telecom Services,USA
CACC,Credit Acceptance Corp.,Financial,Credit Services,USA
CACI,Caci International Inc.,Technology,Information Technology Services,USA
CADE,Cadence Bank,Financial,Banks - Regional,USA
CAE,Cae Inc.,Industrials,Aerospace & Defense,Canada
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA
CAH,Cardinal Health,,,
CALM,Cal-Maine Foods,,,
CALX,Calix Inc,Technology,Software - Application,USA
CAR,Avis Budget Group Inc,Industrials,Rental & Leasing Services,USA
CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA
CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,USA
CASY,Casey's General Stores,,,
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA
CATY,Cathay General Bancorp,Financial,Banks - Regional,USA
CAVA,Cava Group Inc,Consumer Cyclical,Restaurants,USA
CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland
CBAY,Cymabay Therapeutics Inc,Healthcare,Biotechnology,USA
CBOE,Cboe Global Markets Inc.,Financial,Financial Data & Stock Exchanges,USA
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA
CBSH,Commerce Bancshares,,,
CBT,Cabot Corp.,Basic Materials,Specialty Chemicals,USA
CBU,Community Bank System,,,
CBZ,Cbiz Inc,Industrials,Specialty Business Services,USA
CC,Chemours Company,Basic Materials,Specialty Chemicals,USA
CCCS,CCC Intelligent Solutions Holdings Inc,Technology,Software - Infrastructure,USA
CCEP,Coca-Cola Europacific Partners Plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom
CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA
CCK,Crown Holdings,,,
CCL,Carnival Corp.,Consumer Cyclical,Travel Services,USA
CCOI,Cogent Communications Holdings Inc,Communication Services,Telecom Services,USA
CCS,Century Communities Inc,Consumer Cyclical,Residential Construction,USA
CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA
CDNS,Cadence Design Systems,,,
CDP,COPT Defense Properties,Real Estate,REIT - Office,USA
CDW,CDW Corp,Technology,Information Technology Services,USA
CE,Celanese Corp,Basic Materials,Chemicals,USA
CEF,Sprott Physical Gold and Silver Trust,Financial,Asset Management,Canada
CELH,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA
CENT,Central Garden & Pet Co.,Consumer Defensive,Packaged Foods,USA
CENTA,Central Garden & Pet Co.,Consumer Defensive,Packaged Foods,USA
CERE,Cerevel Therapeutics Holdings Inc,Healthcare,Biotechnology,USA
CERT,Certara Inc,Healthcare,Health Information Services,USA
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA
CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA
CFLT,Confluent Inc,Technology,Software - Infrastructure,USA
CFR,Cullen Frost Bankers Inc.,Financial,Banks - Regional,USA
CG,Carlyle Group Inc,Financial,Asset Management,USA
CGNX,Cognex Corp.,Technology,Scientific & Technical Instruments,USA
CHD,Church & Dwight Co.,,,
CHDN,Churchill Downs,,,
CHE,Chemed Corp.,Healthcare,Medical Care Facilities,USA
CHH,Choice Hotels International,,,
CHRW,C.H. Robinson Worldwide,,,
CHTR,Charter Communications Inc.,Communication Services,Telecom Services,USA
CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA
CI,Cigna Group,Healthcare,Healthcare Plans,USA
CIEN,CIENA Corp.,Technology,Communication Equipment,USA
CIGI,Colliers International Group Inc,Real Estate,Real Estate Services,Canada
CINF,Cincinnati Financial Corp.,Financial,Insurance - Property & Casualty,USA
CL,Colgate-Palmolive Co.,Consumer Defensive,Household & Personal Products,USA
CLDX,Celldex Therapeutics Inc.,Healthcare,Biotechnology,USA
CLF,Cleveland-Cliffs Inc,Basic Materials,Steel,USA
CLH,Clean Harbors,,,
CLS,Celestica,,,
CLVT,Clarivate Plc,Technology,Information Technology Services,United Kingdom
CLX,Clorox Co.,Consumer Defensive,Household & Personal Products,USA
CM,Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada
CMA,Comerica,,,
CMC,Commercial Metals Co.,Basic Materials,Steel,USA
CMCSA,Comcast Corp,Communication Services,Telecom Services,USA
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA
CNA,CNA Financial Corp.,Financial,Insurance - Property & Casualty,USA
CNC,Centene Corp.,Healthcare,Healthcare Plans,USA
CNHI,CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery,United Kingdom
CNI,Canadian National Railway Co.,Industrials,Railroads,Canada
CNM,Core & Main Inc,Industrials,Industrial Distribution,USA
CNMD,Conmed Corp.,Healthcare,Medical Devices,USA
CNO,CNO Financial Group Inc,Financial,Insurance - Life,USA
CNS,Cohen & Steers Inc.,Financial,Asset Management,USA
CNXC,Concentrix Corp.,Technology,Information Technology Services,USA
COF,Capital One Financial Corp.,Financial,Credit Services,USA
COHR,Coherent Corp,Technology,Scientific & Technical Instruments,USA
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA
COKE,Coca-Cola Consolidated Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA
COLB,Columbia Banking System,,,
COLD,Americold Realty Trust Inc,Real Estate,REIT - Industrial,USA
COLM,Columbia Sportswear Co.,Consumer Cyclical,Apparel Manufacturing,USA
COO,Cooper Companies,,,
COOP,Mr. Cooper Group Inc,Financial,Mortgage Finance,USA
COR,Cencora Inc.,Healthcare,Medical Distribution,USA
CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology,USA
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA
COTY,Coty Inc,Consumer Defensive,Household & Personal Products,USA
COUR,Coursera Inc,Consumer Defensive,Education & Training Services,USA
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,Canada
CPB,Campbell Soup Co.,Consumer Defensive,Packaged Foods,USA
CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA
CPRI,Capri Holdings Ltd,Consumer Cyclical,Luxury Goods,United Kingdom
CPRT,Copart,,,
CPT,Camden Property Trust,Real Estate,REIT - Residential,USA
CR,Crane Co,Industrials,Specialty Industrial Machinery,USA
CRBG,Corebridge Financial Inc.,Financial,Asset Management,USA
CRH,CRH Plc,Basic Materials,Building Materials,Ireland
CRI,Carters Inc,Consumer Cyclical,Apparel Retail,USA
CRL,Charles River Laboratories International Inc.,Healthcare,Diagnostics & Research,USA
CRM,Salesforce Inc,Technology,Software - Application,USA
CRNX,Crinetics Pharmaceuticals Inc,Healthcare,Biotechnology,USA
CROX,Crocs Inc,Consumer Cyclical,Footwear & Accessories,USA
CRS,Carpenter Technology Corp.,Industrials,Metal Fabrication,USA
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland
CRUS,Cirrus Logic,,,
CRVL,Corvel Corp.,Financial,Insurance Brokers,USA
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA
CSCO,Cisco Systems,,,
CSGP,Costar Group,,,
